"slider_crank_v2"

"Time      "	".JOINT_3.Element_Force.X"	".JOINT_3.Element_Force.Y"	".JOINT_3.Element_Force.Mag"
1.390000e-01	2.538036e-02	4.916567e-01	4.923114e-01
1.393333e-01	5.477574e-03	6.623107e-01	6.623336e-01
1.397778e-01	3.274088e-02	4.339198e-01	4.351533e-01
1.400000e-01	2.849384e-02	5.022083e-01	5.030160e-01
1.405556e-01	3.170670e-02	4.762503e-01	4.773046e-01
1.410000e-01	2.476996e-02	5.301305e-01	5.307089e-01
1.420000e-01	6.541906e-02	2.202502e-01	2.297603e-01
1.423225e-01	4.162981e-02	4.656861e-01	4.675431e-01
1.430000e-01	-1.558494e-02	8.195668e-01	8.197150e-01
1.436667e-01	-2.534012e-03	7.236888e-01	7.236938e-01
1.440000e-01	3.963576e-02	4.231254e-01	4.249778e-01
1.443333e-01	2.472496e-02	5.170575e-01	5.176488e-01
1.450000e-01	3.464380e-02	4.780794e-01	4.793331e-01
1.460000e-01	2.935084e-02	5.029977e-01	5.038533e-01
1.470000e-01	-6.951395e-02	1.185160e+00	1.187198e+00
1.474410e-01	4.667127e-02	3.731433e-01	3.760508e-01
1.477380e-01	2.227499e-02	5.494348e-01	5.498865e-01
1.480000e-01	2.693183e-02	5.334029e-01	5.340828e-01
1.486048e-01	2.381712e-02	5.389030e-01	5.394293e-01
1.490000e-01	1.506299e-02	5.841910e-01	5.843853e-01
1.493293e-01	-4.275104e-02	1.006554e+00	1.007463e+00
1.496088e-01	2.104011e-02	5.643961e-01	5.647881e-01
1.500000e-01	-1.598951e-02	8.034340e-01	8.035935e-01
1.502515e-01	2.122269e-02	5.429681e-01	5.433827e-01
1.508064e-01	2.967412e-02	5.021418e-01	5.030179e-01
1.510000e-01	2.791444e-02	5.127050e-01	5.134648e-01
1.520000e-01	1.043805e-02	6.391050e-01	6.391910e-01
1.527917e-01	5.543465e-02	3.307476e-01	3.353610e-01
1.530000e-01	3.555555e-02	4.713616e-01	4.727008e-01
1.534815e-01	4.261512e-02	4.261291e-01	4.282548e-01
1.540000e-01	1.889363e-02	5.976758e-01	5.979745e-01
1.550000e-01	9.494490e-03	6.554324e-01	6.555013e-01
1.556875e-01	1.145029e-01	2.200388e-01	2.480483e-01
1.560000e-01	9.431149e-03	5.785354e-01	5.786123e-01
1.564583e-01	1.948673e-02	5.710332e-01	5.713657e-01
1.570000e-01	-3.651512e-02	9.447829e-01	9.454882e-01
1.576667e-01	1.731798e-02	5.946163e-01	5.948685e-01
1.580000e-01	-7.993610e-03	7.618179e-01	7.618598e-01
1.584167e-01	2.922886e-02	5.122664e-01	5.130996e-01
1.590000e-01	1.070101e-02	6.328079e-01	6.328984e-01
1.600000e-01	4.651938e-03	6.798540e-01	6.798699e-01
1.610000e-01	3.144373e-03	6.914789e-01	6.914860e-01
1.620000e-01	2.948814e-03	6.933522e-01	6.933584e-01
1.630000e-01	1.060918e-02	6.447208e-01	6.448081e-01
1.633744e-01	-5.471393e-03	7.461577e-01	7.461778e-01
1.640000e-01	1.966801e-03	6.994778e-01	6.994806e-01
1.650000e-01	2.390278e-03	6.925136e-01	6.925178e-01
1.660000e-01	2.934091e-03	6.902906e-01	6.902969e-01
1.670000e-01	2.797710e-03	6.911717e-01	6.911774e-01
1.680000e-01	2.822316e-03	6.907954e-01	6.908012e-01
1.690000e-01	3.199718e-03	6.926519e-01	6.926597e-01
1.700000e-01	4.031265e-03	6.881486e-01	6.881605e-01
1.710000e-01	2.847195e-03	6.923894e-01	6.923952e-01
1.720000e-01	3.367494e-03	6.912312e-01	6.912394e-01
1.730000e-01	3.829203e-03	6.909331e-01	6.909437e-01
1.740000e-01	4.091684e-03	6.910388e-01	6.910509e-01
1.750000e-01	4.431758e-03	6.910207e-01	6.910349e-01
1.760000e-01	4.762890e-03	6.910336e-01	6.910500e-01
1.770000e-01	5.138850e-03	6.910446e-01	6.910637e-01
1.780000e-01	4.392029e-03	6.918782e-01	6.918922e-01
1.790000e-01	-2.523246e-02	8.604626e-01	8.608324e-01
1.800000e-01	-1.109717e-02	7.752592e-01	7.753386e-01
1.808500e-01	1.828110e-02	6.156400e-01	6.159115e-01
1.810000e-01	1.240800e-02	6.416756e-01	6.417958e-01
1.820000e-01	-3.079952e-03	7.252048e-01	7.252115e-01
1.830000e-01	6.975983e-03	6.819380e-01	6.819756e-01
1.840000e-01	7.762444e-03	6.797570e-01	6.798031e-01
1.850000e-01	1.629220e-02	6.730184e-01	6.732174e-01
1.853024e-01	1.559990e-02	5.997835e-01	5.999865e-01
